# Always On, Heating & A/C, Refrigeration, Dryer, Cooking, Other, Datetime Midpoint
1.86,0,1.416,0.297,0,0.234, 2009-09-01T05:00:00
1.86,0,1.41,0.186,0,0, 2009-09-01T11:00:00
1.86,0,0.936,3.75,0,2.4, 2009-09-01T17:00:00
1.962,0,0.276,0.468,0,0, 2009-09-01T23:00:00
1.98,0,0.606,0.408,0,0.186, 2009-09-02T05:00:00
1.98,0,0.858,0.396,0,0.492, 2009-09-02T11:00:00
1.98,0,2.226,1.497,0,0.156, 2009-09-02T17:00:00
2.028,0,0.24,0.444,0,0, 2009-09-02T23:00:00
2.04,0,0.888,1.209,0,0.204, 2009-09-03T05:00:00
2.04,0,1.116,0.807,0,0, 2009-09-03T11:00:00
2.04,0,1.524,0.354,0,0.264, 2009-09-03T17:00:00
2.04,0,0.18,0.492,0,0, 2009-09-03T23:00:00
2.04,0,0.99,0.264,0,0.246, 2009-09-04T05:00:00
2.04,0,1.314,0.687,0,0.084, 2009-09-04T11:00:00
2.04,0,0.744,0,2.982,0.816, 2009-09-04T17:00:00
1.992,0,0.492,1.194,4.392,0, 2009-09-04T23:00:00
1.98,0,0.36,0.477,0,0.114, 2009-09-05T05:00:00
1.98,0,1.35,1.056,1.032,3.9, 2009-09-05T11:00:00
1.98,0,1.806,0.585,5.46,5.478, 2009-09-05T17:00:00
1.98,0,0.672,0.489,0,0, 2009-09-05T23:00:00
1.98,0,0.63,1.02,0,0.162, 2009-09-06T05:00:00
1.98,0,1.476,1.38,6.54,3.54, 2009-09-06T11:00:00
1.98,0,1.788,1.338,0,2.49, 2009-09-06T17:00:00
1.83,0,0.462,0.564,0,0.744, 2009-09-06T23:00:00
1.8,0,1.098,0.321,0,0.192, 2009-09-07T05:00:00
1.8,0,0.702,0.474,0,0.006, 2009-09-07T11:00:00
1.8,0,1.56,0.291,0,2.274, 2009-09-07T17:00:00
1.902,0,0.228,0.405,0,0.24, 2009-09-07T23:00:00
1.92,0,1.068,0.342,0,0.108, 2009-09-08T05:00:00
1.92,0,1.23,0.402,0,0.006, 2009-09-08T11:00:00
1.92,0,1.866,0.504,0,1.128, 2009-09-08T17:00:00
1.92,0,1.452,0.24,0,0.264, 2009-09-08T23:00:00
1.92,0.006,1.254,0.24,0,0.018, 2009-09-09T05:00:00
1.92,0,1.272,0.24,0,0.006, 2009-09-09T11:00:00
1.92,1.398,1.902,1.815,0,1.17, 2009-09-09T17:00:00
1.968,0,5.904,0.24,0,0, 2009-09-09T23:00:00
1.98,0,2.154,0,0,0, 2009-09-10T05:00:00
